order,image,start,end,seam_from_prev
1,IMG_3337,AG 5 N421,BF 57 D53,(first)
2,IMG_3338,BF 57 F72c,BF 311 C6766,gap
3,IMG_3339,BF 311 C6767,BF 371 B141h,gap
4,IMG_3340,BF 371 B141p,BF 455 D646v,gap
5,IMG_3341,BF 455 E36p,BF 575 S37 G373t,gap
6,IMG_3342,BF 575 P9 R951p,BF 697 P975,OVERLAP (row weave)
7,IMG_3343,BF 697 R277a,BF 713 T65,gap
8,IMG_3344,BF 713 T655b,BF 789 D4 6456s,gap
9,IMG_3345,BF 789 D4,H 62 B113s,OVERLAP (row weave)
10,IMG_3346,H 62 B113s,HM 271 M598o,=EXACT=
11,IMG_3347,HM 271 M598o,HQ 1090 D754m,=EXACT=
12,IMG_3348,HQ 1090 M452m,PE 1628 W39c,gap
13,IMG_3349,PE 1628 W39c,QC 175 G939e,=EXACT=
14,IMG_3350,QC 176.8 E4 S993,QE 882 P8,gap
15,IMG_3351,QE 882 R6,QH 323.5 Z181b,gap
16,IMG_3352,QH 323.5 Z181b,QH 442.2 G3266,=EXACT=
17,IMG_3353,QH 442.2 G328,QH 506 B615,gap
18,IMG_3354,QH 506 B6153,QH 541.5 C7,gap
19,IMG_3355,QH 541.5 C7,QH 581.2 M697,=EXACT=
20,IMG_3356,QH 581.2 M718,QH 603 M5 B615,gap
21,IMG_3357,QH 603 M5 E56,QK 177 M682b,gap
22,IMG_3358,QK 177 M682p,QK 495 U48,gap
23,IMG_3359,QK 495 U48,QK 671 M565a,=EXACT=
24,IMG_3360,QK 671 M565a,QK 898 B85,=EXACT=
25,IMG_3361,QK 898 B85,QL 121 S438,=EXACT=
26,IMG_3362,QL 121 S616c,QL 495 C552i,gap
27,IMG_3363,QL 495 C976,QL 639.2 R425,gap
28,IMG_3364,QL 639.2 T531r,QL 687 P3,gap
29,IMG_3365,QL 687 P3,QL 737 C22,=EXACT=
30,IMG_3366,QL 737 C22,QL 751 D597s,=EXACT=
31,IMG_3367,QL 751 D7465i,QL 963 N289c,gap
32,IMG_3368,QL 963 N289c,QS 4 M334e,=EXACT=
33,IMG_3369,QS 4 M334e,QS 675 S645r,=EXACT=
34,IMG_3370,QS 675 S645r,QT 140 L665a,=EXACT=
35,IMG_3371,QT 140 L722e,QU 25 D628,gap
36,IMG_3372,QU 25 D6295,QU 55 P97,gap
37,IMG_3373,QU 55 P975,QU 83 B615,gap
38,IMG_3374,QU 83 C331,QU 135 C943h,gap
39,IMG_3375,QU 135 G982e,QU 140 J35c,gap
40,IMG_3376,QU 140 L151,QU 325 F791c,gap
41,IMG_3377,QU 325 G328,QV 34 H191,gap
42,IMG_3378,QV 34 H192,QV 39 S126n,gap
43,IMG_3379,QV 39 S224,QV 82 A354,gap
44,IMG_3380,QV 82 B521,QV 247 N117,gap
45,IMG_3381,QV 247 N814,QV 600 B915c,gap
46,IMG_3382,QV 600 B915c,QV 736 S797c,=EXACT=
47,IMG_3383,QV 736 T969,QV 766 S971p,gap
48,IMG_3384,QV 766 T387H,QV 772 M537,gap
49,IMG_3385,QV 772 M721,QV 835 U58pe,gap
