order,image,start,end,seam_from_prev
1,IMG_3063,W1 JA121,W1 JO5221,(first)
2,IMG_2967,W1 JO5221,W1 JO523,=EXACT=
3,IMG_2966,W1 JO523,W1 JO535,=EXACT=
4,IMG_2965,W1 JO535,W1 JO542,=EXACT=
5,IMG_2968,W1 JO542,W1 JO542,=EXACT=
6,IMG_2969,W1 JO542,W1 JO547,=EXACT=
7,IMG_2964,W1 JO547,W1 JO551V,=EXACT=
8,IMG_2963,W1 JO551V,W1 JO5576,=EXACT=
9,IMG_2970,W1 JO5576,W1 JO565,=EXACT=
10,IMG_2971,W1 JO565,W1 JO567,=EXACT=
11,IMG_2962,W1 JO567,W1 JO572,=EXACT=
12,IMG_2961,W1 JO572,W1 JO599,=EXACT=
13,IMG_2972,W1 JO599,W1 JO6204,=EXACT=
14,IMG_2973,W1 JO6204,W1 JO623ML,=EXACT=
15,IMG_2974,W1 JO623MP,W1 JO626,gap
16,IMG_2975,W1 JO626,W1 JO629B,=EXACT=
17,IMG_2976,W1 JO6292,W1 JO632,gap
18,IMG_2977,W1 JO632,W1 JO6386,=EXACT=
19,IMG_2978,W1 JO639N,W1 JO650,gap
20,IMG_2979,W1 JO650,W1 JO656,=EXACT=
21,IMG_2980,W1 JO656,W1 JO669,=EXACT=
22,IMG_2981,W1 JO669,W1 JO682,=EXACT=
23,IMG_2982,W1 JO682,W1 JO6907,=EXACT=
24,IMG_2983,W1 JO6907,W1 JO701,=EXACT=
25,IMG_2984,W1 JO701,W1 JO714,=EXACT=
26,IMG_2985,W1 JO714,W1 JO718D,=EXACT=
27,IMG_3011,W1 JO718L,W1 JO728,gap
28,IMG_3010,W1 JO728,W1 JO7403,=EXACT=
29,IMG_2986,W1 JO7403,W1 JO742H,=EXACT=
30,IMG_2988,W1 JO742L,W1 JO756,gap
31,IMG_3009,W1 JO757,W1 JO788,gap
32,IMG_3008,W1 JO788,W1 JO796,=EXACT=
33,IMG_2989,W1 JO797,W1 JO819,gap
34,IMG_2990,W1 JO819,W1 JO829,=EXACT=
35,IMG_3007,W1 JO829,W1 JO836,=EXACT=
36,IMG_3006,W1 JO836,W1 JO852,=EXACT=
37,IMG_2992,W1 JO886,W1 JO897VL,gap
38,IMG_2993,W1 JO897VL,W1 JO913,=EXACT=
39,IMG_2994,W1 JO913,W1 JO922F,=EXACT=
40,IMG_3005,W1 JO922F,W1 JO939,=EXACT=
41,IMG_2995,W1 JO939,W1 JO955,=EXACT=
42,IMG_2996,W1 JO955,W1 KI311,=EXACT=
43,IMG_3004,W1 KI311,W1 LA208,=EXACT=
44,IMG_3003,W1 LA208,W1 LA534,=EXACT=
45,IMG_2997,W1 LA534,W1 LA719,=EXACT=
46,IMG_2998,W1 LA719,W1 LI388,=EXACT=
47,IMG_3002,W1 LI431,W1 LY621,gap
48,IMG_3001,W1 LY621,W1 LY627,=EXACT=
