order,image,start,end,seam_from_prev
1,IMG_3149,W1 PR189,W1 PR5606,(first)
2,IMG_3150,W1 PR611P,W1 PR7498,gap
3,IMG_3153,W1 PR823U,W1 PS377,gap
4,IMG_3154,W1 PS388,W1 PS607,gap
5,IMG_3155,W1 PS607,W1 PS721M,=EXACT=
6,IMG_3156,W1 PS724,W1 PS827,gap
7,IMG_3157,W1 PS836,W1 QU570,gap
8,IMG_3158,W1 QU570,W1 RA349,=EXACT=
9,IMG_3159,W1 RA369,W1 RE160,gap
10,IMG_3160,W1 RE160,W1 RE230TM,=EXACT=
11,IMG_3161,W1 RE230TM,W1 RE563,=EXACT=
12,IMG_3162,W1 RE563,W1 RI309,=EXACT=
13,IMG_3163,W1 RI309,W1 RO835,=EXACT=
14,IMG_3164,W1 RO835,W1 SC148,=EXACT=
15,IMG_3165,W1 SC148,W1 SC308,=EXACT=
16,IMG_3166,W1 SC308A,W1 SC831,gap
17,IMG_3167,W1 SC831,W1 SE607K,=EXACT=
18,IMG_3168,W1 SE607K,W1 SK371,=EXACT=
19,IMG_3169,W1 SL217,W1 SO134,gap
20,IMG_3170,W1 SO134,W1 SO8744,=EXACT=
21,IMG_3171,W1 SO8744,W1 SO9885,=EXACT=
22,IMG_3172,W1 SO9911,W1 ST469,gap
23,IMG_3173,W1 ST897,W1 SU823,gap
24,IMG_3174,W1 SU823,W1 SU861,=EXACT=
25,IMG_3175,W1 SU861,W1 TE821,=EXACT=
26,IMG_3176,W1 TE821,W1 TI935,=EXACT=
27,IMG_3177,W1 TO13,W1 TO977,gap
28,IMG_3178,W1 TO977,W1 TR323,=EXACT=
29,IMG_3179,W1 TR336A,W1 TU671,gap
30,IMG_3180,W1 TU671,W1 UR716,=EXACT=
31,IMG_3181,W1 UR716,W1 VE936,=EXACT=
32,IMG_3182,W1 VE936,W1 VI801,=EXACT=
33,IMG_3183,W1 VI801,W1 VO917,=EXACT=
34,IMG_3184,W1 VO917,W1 WI741,=EXACT=
35,IMG_3185,W1 WI871,W1 YE197,gap
36,IMG_3186,W1 YE205,W1 YE767,gap
37,IMG_3187,W1 YE823,W1 ZH765,gap
38,IMG_3188,W1 ZH765,W2 AN231AN,=EXACT=
39,IMG_3189,W2 AN231AN,W2 AW4 P6P,=EXACT=
40,IMG_3190,W2 AW4 D6P,W3 AD215,OVERLAP (row weave)
41,IMG_3191,W3 AD215,W3 EU915,=EXACT=
42,IMG_3192,W3 EU915,W3 IN8715H,=EXACT=
43,IMG_3193,W3 IN8715M,W3 NA794,gap
44,IMG_3194,W3 NE161,W3 WO542,gap
45,IMG_3195,W3 WO542,W4C K764I,=EXACT=
46,IMG_3196,W4C K79M,W4C W382I,gap
47,IMG_3197,W4C W397A,W4C Z89P 2009,gap
